TimeStamp,Latitude,Longitude,Velocity,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Current,Voltage
21:38:30.001595,0.0,0.0,0.0,619,-817,7831,-49,1,46,-582,-48,286,2.041175,14.3
21:38:30.091578,0.0,0.0,0.0,612,-810,7827,-51,1,46,-580,-44,292,2.0389,14.3
21:38:30.177494,0.0,0.0,0.0,613,-817,7855,-52,1,46,-574,-54,288,2.03435,14.3
21:38:30.251750,0.0,0.0,0.0,611,-812,7844,-50,4,44,-583,-39,289,2.032075,14.3
21:38:30.345598,0.0,0.0,0.0,616,-813,7833,-50,3,46,-579,-49,289,2.0423125,14.3
21:38:30.422160,0.0,0.0,0.0,611,-815,7832,-52,3,47,-579,-53,283,2.0389,14.3
21:38:30.508603,0.0,0.0,0.0,624,-809,7834,-50,3,46,-582,-54,284,2.03435,14.3
21:38:30.592042,0.0,0.0,0.0,611,-816,7828,-50,2,46,-573,-45,287,2.0445875,14.3
21:38:30.674278,0.0,0.0,0.0,618,-810,7838,-51,1,46,-578,-58,292,2.048,14.3
21:38:30.760421,0.0,0.0,0.0,609,-817,7841,-50,4,46,-581,-65,289,2.0468625,14.3
21:38:30.866271,0.0,0.0,0.0,614,-820,7826,-51,3,45,-568,-56,288,2.0559625,14.3
21:38:30.934319,0.0,0.0,0.0,618,-806,7826,-50,1,46,-578,-52,294,2.0571,14.3
21:38:31.024662,0.0,0.0,0.0,622,-816,7834,-51,2,45,-576,-46,292,2.04345,14.3
21:38:31.089649,0.0,0.0,0.0,611,-808,7836,-51,4,47,-575,-53,289,2.048,14.3
21:38:31.172435,0.0,0.0,0.0,621,-820,7827,-51,3,48,-583,-53,289,2.054825,14.3
21:38:31.260769,0.0,0.0,0.0,611,-812,7830,-50,1,47,-580,-54,290,2.045725,14.3
21:38:31.346384,0.0,0.0,0.0,617,-814,7841,-51,4,46,-585,-53,281,2.0423125,14.3
21:38:31.455685,0.0,0.0,0.0,616,-816,7835,-51,2,46,-578,-52,294,2.0445875,14.3
21:38:31.524005,0.0,0.0,0.0,612,-810,7837,-51,3,45,-584,-54,284,2.045725,14.3
21:38:31.591541,0.0,0.0,0.0,612,-817,7839,-50,0,46,-584,-52,286,2.048,14.3
21:38:31.690777,0.0,0.0,0.0,618,-810,7830,-51,3,46,-578,-50,284,2.0468625,14.3
21:38:31.790660,0.0,0.0,0.0,608,-815,7835,-52,3,44,-585,-47,279,2.0514125,14.3
21:38:31.851584,0.0,0.0,0.0,616,-809,7828,-50,2,47,-582,-56,284,2.048,14.3
21:38:31.936459,0.0,0.0,0.0,610,-821,7844,-50,2,46,-583,-45,289,2.0389,14.3
21:38:32.036483,0.0,0.0,0.0,619,-831,7855,-51,2,45,-574,-58,290,2.0389,14.3
21:38:32.105834,0.0,0.0,0.0,615,-806,7830,-49,5,46,-583,-53,289,2.045725,14.3
21:38:32.195914,0.0,0.0,0.0,615,-831,7819,-52,0,45,-581,-57,291,2.0445875,14.3
21:38:32.273239,0.0,0.0,0.0,611,-803,7849,-51,2,46,-579,-55,289,2.045725,14.3
21:38:32.379352,0.0,0.0,0.0,607,-816,7837,-47,3,46,-577,-43,287,2.04345,14.3
21:38:32.459119,0.0,0.0,0.0,615,-816,7835,-50,2,45,-578,-48,288,2.0423125,14.3
21:38:32.539937,0.0,0.0,0.0,617,-817,7824,-51,1,47,-583,-59,285,2.0377625,14.3
21:38:32.627850,0.0,0.0,0.0,609,-821,7837,-50,3,47,-584,-52,286,2.0423125,14.3
21:38:32.714620,0.0,0.0,0.0,619,-812,7837,-48,4,46,-585,-51,291,2.0491375,14.3
21:38:32.799569,0.0,0.0,0.0,615,-821,7838,-50,2,46,-574,-46,292,2.04345,14.3
