TimeStamp,Roll,Pitch,Yaw,AccX,AccY
13:29:15.847046,32.8887654289596,-52.59431390829586,-126.19492907884676,2.057740509384312,87.4838397828276
13:29:16.196909,32.901793243481976,-52.600759958983666,-126.20065280436341,2.0642366118045965,87.86621485310022
13:29:16.457399,32.915767562517495,-52.60721484794392,-126.21270814025046,2.0711094671344767,88.24817492706805
13:29:16.738246,32.93025224489995,-52.61426275060322,-126.23385165924772,2.0775682157666364,88.62998357790907
13:29:16.847025,32.94548560068542,-52.62308393571624,-126.24694672037225,2.0837256951588747,89.01225363382343
13:29:17.047054,32.95979567266168,-52.63074952629586,-126.25857342732675,2.0902553103084753,89.3946063107282
13:29:17.167240,32.97497896336183,-52.63787736778253,-126.27519875484835,2.096630615049989,89.77708739377034
13:29:17.420900,32.98767844023629,-52.64469113625833,-126.29280911251824,2.1027505411889074,90.15908427025434
13:29:17.517197,33.00163851798946,-52.65086069440039,-126.30472907799641,2.109555831375861,90.54143923999958
13:29:17.727108,33.01540396926216,-52.65709425168178,-126.31795437988036,2.116427165885013,90.92329586215263
13:29:18.107143,33.03304878119092,-52.66642624376648,-126.33299060138015,2.124202524922414,91.3059760215498
13:29:18.212113,33.04825990633452,-52.67432999684598,-126.34319119063626,2.131220600592557,91.68840902153235
13:29:18.472404,33.061883390781546,-52.68308530096208,-126.35140950952875,2.137743906386216,92.07098933229243
13:29:18.572390,33.07443505928995,-52.688782493719486,-126.36061827337305,2.1452247296878295,92.45357753552918
13:29:18.802032,33.08691089223575,-52.694850788661945,-126.36985651761918,2.1517355614875204,92.83646119902056
13:29:19.132320,33.10193706485956,-52.70245478853028,-126.38579902567957,2.1585982989585077,93.21910185818578
13:29:19.246455,33.11516622781393,-52.70886803066704,-126.4026903481547,2.1655021794445424,93.6015805545922
13:29:19.566988,33.1294124418128,-52.716189743489615,-126.420659729168,2.172159435987706,93.98478427726648
13:29:19.807028,33.14364801017292,-52.72381934831744,-126.4332883236011,2.178527162285813,94.3677960567733
13:29:19.927236,33.156182514387844,-52.72881273490718,-126.44782355554621,2.186407682689918,94.75125550176438
13:29:20.182233,33.17067774405707,-52.73577151073464,-126.45972839993853,2.1936953117862883,95.13424234428074
13:29:20.297312,33.18511568562628,-52.74232494525266,-126.47883305936263,2.201043339667198,95.5174438408538
13:29:20.882531,33.1974312841814,-52.747439490563764,-126.49664230832745,2.2076105863313296,95.90014331946611
13:29:21.542344,33.209213967091955,-52.752984892399574,-126.50601980824204,2.214439833406147,96.28349456047927
13:29:21.777307,33.219917222749366,-52.75822140213785,-126.5123184580513,2.2209790226769726,96.66603635630973
13:29:22.099550,33.23092899224245,-52.76295335525826,-126.52376346900053,2.227497742464639,97.04931942876887
13:29:22.388094,33.24539363179973,-52.770587058217416,-126.53503518842392,2.234454083970892,97.43259175409638
13:29:22.497293,33.25950657899239,-52.777736516725405,-126.54992471398275,2.2410303861402596,97.81646755718694
13:29:22.587221,33.2740701743929,-52.7852907000652,-126.56105635611199,2.2478836247472045,98.19965073742489
13:29:22.868277,33.28763962459517,-52.7922868179545,-126.57147523189985,2.25483946650748,98.58394666564708
13:29:23.119137,33.29821226875169,-52.797002538839656,-126.57810470732274,2.261555774083524,98.96666079359743
13:29:23.237163,33.3098236010915,-52.80172726399544,-126.5895801838964,2.2682966721063136,99.35032351216462
13:29:23.562474,33.323011610210294,-52.808198822109524,-126.5990842767375,2.2750993898395198,99.73399995084544
13:29:23.792467,33.33566684614672,-52.81466234041795,-126.60826199645344,2.2819404892287958,100.11782294661536
13:29:24.112180,33.34718687253734,-52.81964458885823,-126.61736382532342,2.2886898747818956,100.50116091860107
13:29:24.412064,33.3568061320216,-52.8242716913393,-126.62192281777708,2.2950632699529643,100.88553521000001
13:29:24.517017,33.36939924655138,-52.83055532510191,-126.63303945739327,2.301630469773092,101.26916710858627
13:29:24.807064,33.381536444117145,-52.836861994387455,-126.64625133201919,2.3084555262577604,101.65258426669577
13:29:24.901056,33.3937934114937,-52.843605755113735,-126.65759100108895,2.3152908195083484,102.0363327044403
13:29:25.211256,33.40688130555429,-52.85026281144637,-126.66965748690949,2.3222263271463337,102.42006457107739
13:29:25.337109,33.41631082179684,-52.85418327277297,-126.67588261499117,2.329107363946823,102.804166210336
13:29:25.659973,33.428081476302246,-52.860151312014224,-126.68559644395089,2.335408871415957,103.1884037327301
13:29:25.941864,33.439419639467225,-52.86556193420938,-126.69692253646001,2.3418407632800906,103.57284537850306
13:29:26.187277,33.45273756475864,-52.872545083939755,-126.70762191461611,2.3490013722761414,103.95696164787249
13:29:26.472840,33.46376824773189,-52.877831806308095,-126.72300385280026,2.3558354456686534,104.34104945218859
13:29:26.557059,33.47350414718108,-52.881836483841866,-126.73104004533076,2.3623417570140735,104.72446774271954
13:29:26.661958,33.48579345771822,-52.88786505409861,-126.74192362519054,2.369062352019591,105.10862985718138
13:29:26.922010,33.494984957141355,-52.891936143560464,-126.74811872538902,2.3752728374863117,105.49227375011453
13:29:27.152006,33.50804245357268,-52.8985468210993,-126.76097243885563,2.381748137557442,105.87594858577643
13:29:27.387382,33.52026281767906,-52.904868534452554,-126.77316470349635,2.388889194176622,106.26004716382562
13:29:27.633485,33.53125483090464,-52.909567044192784,-126.78515802744403,2.3959390657991793,106.64426410790823
13:29:27.697381,33.54234650446969,-52.914841489445564,-126.79143526143686,2.402764137403347,107.02878121560266
13:29:27.867241,33.55416651977698,-52.92092425315845,-126.80111383609226,2.409762918879904,107.41286268873354
13:29:27.982503,33.564440114451536,-52.92563916401779,-126.80959482219313,2.416889095725854,107.79712940528154
