TimeStamp,Roll,Pitch,Yaw
11:20.1,-3.871019614,-2.864094307,-178.540198
11:20.2,-3.864081584,-2.858869227,-178.5458245
11:20.4,-3.871495455,-2.863111777,-178.4630477
11:20.4,-3.876369965,-2.869821366,-178.3879791
11:20.6,-3.874832477,-2.865745625,-178.3940186
11:20.7,-3.876078212,-2.870896685,-178.3746679
11:20.9,-3.877274645,-2.874377053,-178.3948655
11:21.1,-3.874614488,-2.869197305,-178.413179
11:21.3,-3.867194817,-2.864338426,-178.4370804
11:21.4,-3.864080534,-2.861728797,-178.4778132
11:21.6,-3.861187974,-2.864595261,-178.4885325
11:21.7,-3.859769163,-2.868050797,-178.466588
11:21.8,-3.8557313,-2.87876524,-178.4893118
11:21.9,-3.849149415,-2.880245603,-178.4916565
11:22.0,-3.854027123,-2.882118358,-178.5342129
11:22.1,-3.85284031,-2.882552678,-178.5448085
11:22.2,-3.84828626,-2.886702233,-178.5639731
11:22.3,-3.849900213,-2.884668696,-178.5742316
11:22.4,-3.845235823,-2.88040181,-178.593551
11:22.6,-3.844709254,-2.877845058,-178.6232114
11:22.7,-3.848252029,-2.883975695,-178.6495275
11:22.8,-3.847608168,-2.880405834,-178.6546676
11:23.0,-3.846893746,-2.884373048,-178.6755781
11:23.2,-3.846119401,-2.885431873,-178.7137319
11:23.4,-3.846594869,-2.885379495,-178.7501245
11:23.5,-3.84689215,-2.885602678,-178.7390706
11:23.6,-3.851145464,-2.88783217,-178.714454
11:23.7,-3.854800269,-2.887241887,-178.7124819
11:23.8,-3.85166321,-2.884083971,-178.6946157
11:23.9,-3.848820198,-2.879195419,-178.7006559
11:24.0,-3.849373853,-2.880620669,-178.6774954
11:24.1,-3.853756402,-2.882080965,-178.6334893
11:24.3,-3.853005734,-2.881363348,-178.6657478
11:24.4,-3.854613765,-2.879287943,-178.6817189
11:24.5,-3.855457026,-2.88114566,-178.6900884
11:24.7,-3.852545716,-2.879872854,-178.7024635
11:24.8,-3.854427626,-2.881980541,-178.6324856
11:24.9,-3.849969093,-2.882170916,-178.6571634
11:25.1,-3.849426997,-2.882775339,-178.6525573
11:25.2,-3.848265975,-2.881897086,-178.6652103
11:25.3,-3.846499893,-2.882757182,-178.6670401
11:25.4,-3.846029836,-2.886192695,-178.6381072
11:25.6,-3.845608237,-2.885936909,-178.6438376
11:25.7,-3.842681949,-2.887644815,-178.6052994
11:25.9,-3.842131317,-2.886049538,-178.611496
11:26.1,-3.845624061,-2.885181743,-178.5760366
11:26.2,-3.843219772,-2.882818259,-178.616981
11:26.3,-3.844002975,-2.884086486,-178.6300251
11:26.6,-3.846728658,-2.885727789,-178.5718613
11:26.8,-3.849146532,-2.883372503,-178.5887829
11:26.9,-3.847511009,-2.885154666,-178.6051537
11:27.1,-3.855104253,-2.8869923,-178.5766304
11:27.2,-3.857423042,-2.886639674,-178.6090423
11:27.4,-3.855848587,-2.891163687,-178.6259801
11:27.6,-3.857182882,-2.891879451,-178.6507743
11:27.7,-3.856122486,-2.893706142,-178.6854621
11:27.9,-3.851767976,-2.89262165,-178.6641049
11:28.0,-3.8484853,-2.893585725,-178.6533313
11:28.1,-3.839632634,-2.892508768,-178.6666409
11:28.3,-3.838058842,-2.891050282,-178.6747608
11:28.5,-3.846272991,-2.889673565,-178.6933424
11:28.7,-3.846233974,-2.890808498,-178.6784386
11:28.8,-3.846500437,-2.890596226,-178.7110465
11:29.0,-3.846386227,-2.892952997,-178.7384578
11:29.0,-3.840463266,-2.890264327,-178.7270722
11:29.2,-3.841669928,-2.893962728,-178.7156532
11:29.3,-3.8434665,-2.890882588,-178.7376738
11:29.4,-3.847892254,-2.893633885,-178.7465126
11:29.6,-3.84928153,-2.894112949,-178.7705279
11:29.7,-3.848185126,-2.890264218,-178.8049554
11:29.9,-3.8496188,-2.892590259,-178.8177243
11:30.2,-3.850525902,-2.893247907,-178.8179827
11:30.3,-3.852607849,-2.89479039,-178.8019249
11:30.4,-3.851253519,-2.8925508,-178.809056
11:30.6,-3.854961021,-2.891070414,-178.7859616
11:30.7,-3.849984701,-2.890335756,-178.787799
11:30.8,-3.85184042,-2.892478324,-178.7909344
11:31.0,-3.856920152,-2.89505708,-178.7880098
11:31.1,-3.856308447,-2.893602352,-178.7743539
11:31.4,-3.851836421,-2.892699333,-178.7391244
11:31.4,-3.849051265,-2.889881784,-178.7286945
11:31.7,-3.844545294,-2.887128095,-178.7486194
11:31.8,-3.847667027,-2.888160463,-178.7246093
11:32.0,-3.844935152,-2.888958179,-178.7358697
11:32.2,-3.847139692,-2.889895136,-178.7288399
11:32.3,-3.844361229,-2.889249554,-178.7223681
11:32.4,-3.845051395,-2.890243029,-178.7503962
11:32.5,-3.847540674,-2.891017547,-178.7419625
11:32.8,-3.844523031,-2.890246706,-178.7536957
11:32.9,-3.847631747,-2.890767764,-178.7737651
11:33.0,-3.8530795,-2.889521607,-178.7692596
11:33.2,-3.859090834,-2.891704781,-178.7180766
11:33.3,-3.861032852,-2.892332507,-178.6997984
11:33.4,-3.865001384,-2.891526588,-178.6514167
11:33.7,-3.862853554,-2.8902192,-178.6658155
11:33.9,-3.86093795,-2.890010779,-178.7106456
11:34.0,-3.857095389,-2.888468781,-178.7428206
11:34.2,-3.857835727,-2.891465645,-178.7558862
11:34.4,-3.861030849,-2.892368747,-178.7102594
11:34.5,-3.863927646,-2.88928726,-178.7349113
11:34.6,-3.864789702,-2.885349392,-178.7191134
11:34.8,-3.86204751,-2.885238923,-178.7211514
11:35.0,-3.867279939,-2.885432803,-178.6704127
11:35.2,-3.868547469,-2.882021218,-178.6576586
11:35.3,-3.868620761,-2.88097059,-178.6426834
11:35.4,-3.867381242,-2.880598086,-178.6890527
11:35.6,-3.870238988,-2.880040772,-178.6984196
11:35.7,-3.866842326,-2.879955468,-178.7094375
11:35.8,-3.865309404,-2.882352493,-178.7397384
11:36.1,-3.86758079,-2.882553365,-178.692629
11:36.2,-3.868832697,-2.884293666,-178.6606425
11:36.3,-3.868065258,-2.88673118,-178.6582156
11:36.5,-3.86946135,-2.888009473,-178.6600727
11:36.7,-3.869935292,-2.888909536,-178.6436251
11:37.0,-3.868976066,-2.889870814,-178.6938791
11:37.1,-3.868757657,-2.88783018,-178.6855716
11:37.1,-3.865476065,-2.892393822,-178.7109585
11:37.4,-3.861515276,-2.890698459,-178.7238236
11:37.5,-3.860663116,-2.892672739,-178.7140364
11:37.7,-3.85992536,-2.889916392,-178.7230777
11:37.8,-3.855138356,-2.890634124,-178.7266274
11:37.9,-3.852796243,-2.891633208,-178.6999271
11:38.0,-3.831742423,-2.886699346,-178.7274428
11:38.1,-3.865094419,-2.903392343,-178.692872
11:38.2,-3.822414582,-2.888373276,-178.6983523
11:38.3,-3.782015435,-2.866582296,-178.6268378
11:38.6,-3.824687767,-2.87600878,-178.6066696
11:38.6,-3.796431469,-2.866073992,-178.5930612
11:38.8,-3.797825357,-2.864816946,-178.5984393
11:39.0,-3.809521955,-2.87417109,-178.6024755
11:39.2,-3.813236443,-2.87928924,-178.6162837
11:39.2,-3.798792597,-2.874242925,-178.6457311
11:39.4,-3.790419942,-2.864636436,-178.6663174
11:39.5,-3.801954421,-2.867087926,-178.6599246
11:39.8,-3.797498041,-2.864958402,-178.6750764
11:39.9,-3.805911635,-2.870897393,-178.691542
11:40.0,-3.818003918,-2.870341405,-178.6888245
11:40.1,-3.826555699,-2.871788269,-178.726723
11:40.2,-3.82494969,-2.875331844,-178.7633313
11:40.3,-3.827872495,-2.873589301,-178.7690631
11:40.5,-3.835701385,-2.876749782,-178.7229838
11:40.6,-3.842359391,-2.883335821,-178.7338044
11:40.8,-3.844476801,-2.886192487,-178.7313363
11:40.9,-3.849775069,-2.887368489,-178.7017418
11:41.0,-3.846825986,-2.888254283,-178.7155879
11:41.1,-3.854206485,-2.88618595,-178.7221161
11:41.3,-3.855647986,-2.888007115,-178.7238551
11:41.4,-3.857029073,-2.889059712,-178.7600973
11:41.6,-3.858153808,-2.888115584,-178.7953644
11:41.7,-3.854691751,-2.885743102,-178.817262
11:41.8,-3.856827979,-2.885710928,-178.8092839
11:41.9,-3.862710963,-2.885146984,-178.7704641
