TimeStamp,Latitude,Longitude,Velocity,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Current,Voltage
21:50:04.809143,0.0,0.0,0.0,613,-819,7804,-50,4,45,-580,-52,288,2.0832625,14.4
21:50:04.936036,0.0,0.0,0.0,611,-810,7803,-50,5,45,-581,-41,285,2.073025,14.4
21:50:05.042417,0.0,0.0,0.0,610,-816,7794,-50,4,46,-588,-44,282,2.0741625,14.4
21:50:05.123674,0.0,0.0,0.0,616,-812,7803,-51,5,45,-583,-49,285,2.077575,14.4
21:50:05.200711,0.0,0.0,0.0,614,-812,7803,-51,4,46,-588,-54,292,2.0844,14.4
21:50:05.300450,0.0,0.0,0.0,612,-816,7805,-51,4,45,-582,-54,282,2.073025,14.4
21:50:05.365469,0.0,0.0,0.0,606,-816,7798,-50,5,46,-582,-40,284,2.0832625,14.4
21:50:05.466587,0.0,0.0,0.0,604,-812,7796,-50,4,45,-585,-53,283,2.07985,14.4
21:50:05.565324,0.0,0.0,0.0,614,-819,7812,-50,5,46,-580,-52,294,2.0764375,14.4
21:50:05.663250,0.0,0.0,0.0,610,-817,7799,-51,4,45,-580,-50,292,2.0741625,14.4
21:50:05.780901,0.0,0.0,0.0,615,-814,7806,-50,5,44,-582,-56,288,2.068475,14.4
21:50:05.846675,0.0,0.0,0.0,613,-820,7804,-51,5,45,-583,-55,289,2.0662,14.4
21:50:05.926337,0.0,0.0,0.0,611,-817,7799,-51,4,45,-578,-50,282,2.068475,14.4
21:50:06.024808,0.0,0.0,0.0,616,-812,7811,-50,4,46,-582,-46,288,2.073025,14.4
21:50:06.089136,0.0,0.0,0.0,614,-815,7797,-51,5,45,-578,-52,284,2.0718875,14.4
21:50:06.205103,0.0,0.0,0.0,614,-815,7809,-52,3,45,-583,-47,279,2.0809875,14.4
21:50:06.301769,0.0,0.0,0.0,619,-817,7795,-51,5,46,-577,-51,281,2.0650625,14.4
21:50:06.419897,0.0,0.0,0.0,611,-817,7796,-51,5,44,-582,-38,280,2.0753,14.4
21:50:06.484038,0.0,0.0,0.0,611,-820,7808,-51,4,45,-582,-54,280,2.0741625,14.4
21:50:06.565304,0.0,0.0,0.0,613,-810,7799,-51,5,46,-579,-49,291,2.091225,14.4
21:50:06.662972,0.0,0.0,0.0,610,-815,7805,-51,4,45,-581,-45,291,2.0787125,14.4
21:50:06.727138,0.0,0.0,0.0,610,-814,7799,-52,5,45,-579,-49,289,2.0787125,14.4
21:50:06.828540,0.0,0.0,0.0,609,-814,7806,-51,5,45,-578,-56,286,2.0855375,14.4
21:50:06.926766,0.0,0.0,0.0,609,-819,7811,-50,5,46,-586,-46,284,2.07985,14.4
21:50:07.024233,0.0,0.0,0.0,614,-814,7805,-51,3,46,-586,-52,286,2.073025,14.4
21:50:07.116303,0.0,0.0,0.0,606,-813,7799,-50,5,46,-577,-49,299,2.073025,14.4
21:50:07.243645,0.0,0.0,0.0,611,-813,7797,-51,5,45,-573,-53,285,2.0718875,14.4
21:50:07.310967,0.0,0.0,0.0,609,-818,7806,-50,4,45,-579,-53,283,2.0718875,14.4
21:50:07.391058,0.0,0.0,0.0,615,-808,7805,-50,3,45,-583,-51,291,2.0753,14.4
21:50:07.489415,0.0,0.0,0.0,610,-807,7804,-52,4,46,-570,-50,286,2.068475,14.4
21:50:07.554211,0.0,0.0,0.0,615,-816,7810,-50,4,45,-578,-54,290,2.068475,14.4
21:50:07.648845,0.0,0.0,0.0,610,-814,7811,-51,3,46,-582,-50,288,2.0662,14.4
21:50:07.725013,0.0,0.0,0.0,614,-816,7808,-51,5,45,-581,-53,279,2.068475,14.4
21:50:07.811926,0.0,0.0,0.0,609,-814,7806,-50,4,45,-577,-57,287,2.0718875,14.4
21:50:07.896923,0.0,0.0,0.0,602,-815,7805,-51,5,45,-589,-41,291,2.077575,14.4
21:50:07.984135,0.0,0.0,0.0,611,-813,7798,-50,5,45,-582,-42,284,2.068475,14.4
21:50:08.090958,0.0,0.0,0.0,613,-819,7804,-51,4,44,-577,-53,295,2.077575,14.4
21:50:08.151528,0.0,0.0,0.0,607,-811,7798,-51,3,44,-582,-48,288,2.0787125,14.4
21:50:08.250537,0.0,0.0,0.0,617,-810,7810,-52,4,45,-574,-42,284,2.073025,14.4
