21:43:59.447216,0.0,0.0,0.0,617,-815,7838,-51,3,45,-580,-56,286,2.0491375,14.3
21:43:59.530218,0.0,0.0,0.0,609,-808,7821,-48,4,46,-584,-46,280,2.036625,14.3
21:43:59.610390,0.0,0.0,0.0,614,-814,7814,-50,3,46,-573,-47,283,2.0445875,14.3
21:43:59.696749,0.0,0.0,0.0,613,-804,7814,-52,3,48,-586,-46,284,2.0423125,14.3
21:43:59.776530,0.0,0.0,0.0,613,-809,7830,-51,4,45,-582,-42,284,2.041175,14.3
21:43:59.864117,0.0,0.0,0.0,611,-810,7809,-49,4,45,-581,-53,295,2.0445875,14.3
21:43:59.961997,0.0,0.0,0.0,611,-809,7824,-50,3,46,-573,-55,283,2.03435,14.3
21:44:00.054126,0.0,0.0,0.0,612,-808,7821,-50,3,46,-583,-51,281,2.04345,14.3
21:44:00.151420,0.0,0.0,0.0,607,-810,7826,-52,3,46,-576,-52,284,2.0332125,14.3
21:44:00.244307,0.0,0.0,0.0,621,-806,7805,-51,4,45,-584,-50,280,2.04345,14.3
21:44:00.372075,0.0,0.0,0.0,604,-814,7821,-50,4,46,-581,-51,281,2.04345,14.3
21:44:00.440385,0.0,0.0,0.0,616,-807,7818,-50,4,45,-577,-55,281,2.0491375,14.3
21:44:00.518592,0.0,0.0,0.0,607,-811,7815,-50,3,45,-575,-57,287,2.04345,14.3
21:44:00.616357,0.0,0.0,0.0,614,-817,7810,-52,2,46,-568,-52,284,2.0423125,14.3
21:44:00.677907,0.0,0.0,0.0,611,-811,7822,-49,5,47,-574,-54,286,2.041175,14.3
21:44:00.789788,0.0,0.0,0.0,614,-815,7811,-50,3,46,-579,-55,295,2.0389,14.3
21:44:00.854712,0.0,0.0,0.0,610,-810,7819,-51,3,46,-574,-64,286,2.03435,14.3
21:44:00.950796,0.0,0.0,0.0,615,-814,7815,-50,2,47,-580,-44,288,2.0354875,14.3
21:44:01.021543,0.0,0.0,0.0,608,-810,7818,-50,3,45,-582,-56,288,2.0332125,14.3
21:44:01.129783,0.0,0.0,0.0,607,-807,7812,-50,4,45,-581,-47,283,2.036625,14.3
21:44:01.227536,0.0,0.0,0.0,613,-816,7817,-51,3,46,-572,-52,290,2.041175,14.3
21:44:01.345735,0.0,0.0,0.0,607,-806,7819,-50,4,45,-571,-57,281,2.0468625,14.3
21:44:01.411998,0.0,0.0,0.0,618,-810,7827,-50,3,46,-580,-52,278,2.0491375,14.3
21:44:01.491244,0.0,0.0,0.0,610,-814,7821,-49,4,44,-575,-45,287,2.0400375,14.3
21:44:01.592265,0.0,0.0,0.0,614,-808,7812,-51,5,46,-578,-52,286,2.0377625,14.3
