TimeStamp,Latitude,Longitude,Velocity,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Current,Voltage
21:50:27.049808,0.0,0.0,0.0,618,-821,7811,-51,5,44,-578,-48,280,2.05255,14.4
21:50:27.142423,0.0,0.0,0.0,611,-821,7810,-53,5,46,-578,-52,292,2.0605125,14.4
21:50:27.223674,0.0,0.0,0.0,615,-815,7798,-50,4,46,-578,-52,290,2.077575,14.4
21:50:27.309271,0.0,0.0,0.0,613,-814,7808,-51,5,45,-583,-57,285,2.0514125,14.4
21:50:27.387399,0.0,0.0,0.0,614,-818,7789,-52,4,45,-582,-44,292,2.0696125,14.4
21:50:27.476405,0.0,0.0,0.0,615,-820,7807,-51,4,44,-584,-48,280,2.06165,14.4
21:50:27.555020,0.0,0.0,0.0,614,-809,7805,-52,3,46,-585,-53,287,2.0559625,14.4
21:50:27.642321,0.0,0.0,0.0,610,-817,7804,-51,4,45,-581,-49,287,2.0571,14.4
21:50:27.752837,0.0,0.0,0.0,610,-817,7804,-52,4,45,-582,-50,280,2.0627875,14.4
21:50:27.820362,0.0,0.0,0.0,610,-810,7807,-50,4,45,-583,-57,283,2.0673375,14.4
21:50:27.903087,0.0,0.0,0.0,610,-808,7807,-50,4,45,-579,-51,281,2.0844,14.4
21:50:27.999046,0.0,0.0,0.0,612,-816,7802,-51,4,45,-582,-48,284,2.0787125,14.4
21:50:28.097542,0.0,0.0,0.0,614,-816,7808,-52,4,45,-575,-55,281,2.054825,14.4
21:50:28.185022,0.0,0.0,0.0,614,-815,7798,-51,5,45,-590,-58,288,2.077575,14.4
21:50:28.288295,0.0,0.0,0.0,613,-816,7795,-51,4,45,-585,-43,291,2.0650625,14.4
21:50:28.426923,0.0,0.0,0.0,606,-815,7807,-50,4,45,-584,-48,284,2.0832625,14.4
21:50:28.517386,0.0,0.0,0.0,612,-815,7805,-51,4,45,-586,-42,286,2.068475,14.4
21:50:28.649324,0.0,0.0,0.0,608,-811,7808,-50,4,45,-588,-50,282,2.073025,14.4
21:50:28.746752,0.0,0.0,0.0,613,-815,7802,-51,4,46,-582,-50,282,2.0764375,14.4
21:50:28.835332,0.0,0.0,0.0,609,-820,7803,-50,4,46,-575,-55,287,2.0741625,14.4
