TimeStamp,Roll,Pitch,Yaw,AccX,AccY,velX,velY,DistX,DistY
58:00.3,3.132208228,-1.561948037,91.08174549,-0.0299571,0.044984034,0.005848543,-0.006673786,0.000345418,-0.003300531
58:00.4,3.148857516,-1.519506074,90.99735688,-0.022995854,-0.068055671,0.004350688,-0.004424584,0.000637845,-0.00363422
58:00.6,3.135876929,-1.53027618,91.01908491,0.021342347,0.014172023,0.003200895,-0.007827368,0.00085538,-0.00385545
58:00.7,3.144262121,-1.544197468,91.01792888,-0.012764531,0.018176843,0.004268012,-0.007118767,0.001015425,-0.004246818
58:00.8,3.151776738,-1.545141199,91.03327162,-0.008881312,-0.003394955,0.003629786,-0.006209925,0.001228825,-0.004602756
58:00.8,3.160592922,-1.545210048,91.00840622,-0.010770993,-0.002372796,0.00318572,-0.006379672,0.001410314,-0.004913253
58:00.9,3.156386566,-1.543888786,91.03500101,0.006308393,-0.00412248,0.002647171,-0.006498312,0.001569601,-0.005232236
58:01.1,3.155885142,-1.563509413,91.03851572,0.002578003,0.024667078,0.00296259,-0.006704436,0.001701959,-0.005557152
58:01.2,3.144254965,-1.557545451,91.03236351,0.010568947,-0.008781106,0.003091491,-0.005471082,0.001850089,-0.005892374
58:01.3,3.148118821,-1.546904355,91.00489829,-0.007635316,-0.018218399,0.003619938,-0.005910138,0.002004663,-0.006165928
58:01.4,3.149848706,-1.558989429,90.97281899,-0.00286305,0.018029098,0.003238172,-0.006821057,0.00218566,-0.006461435
58:01.5,3.154257873,-1.546947808,90.96880423,-0.006169511,-0.017838896,0.00309502,-0.005919603,0.002347569,-0.006802487
58:01.6,3.159938745,-1.557151487,90.94306459,-0.008773369,0.014861637,0.002786544,-0.006811547,0.00250232,-0.007098468
58:01.8,3.154765227,-1.560215876,90.98708001,0.007687522,0.000128547,0.002347876,-0.006068466,0.002641647,-0.007439045
58:01.9,3.147793317,-1.560497171,91.0152891,0.008043088,-0.001842809,0.002732252,-0.006062038,0.002759041,-0.007742468
58:01.9,3.159390684,-1.564096848,91.07416381,-0.017242179,0.002847313,0.003134406,-0.006154179,0.002895653,-0.00804557
58:02.0,3.156159045,-1.556523532,90.99089305,0.005124587,-0.010989483,0.002272297,-0.006011813,0.003052373,-0.008353279
58:02.2,3.153169682,-1.563382738,91.00504425,0.002105963,0.0080796,0.002528526,-0.006561287,0.003165988,-0.00865387
58:02.2,3.160553027,-1.561099791,91.00987487,-0.010952174,-0.003702751,0.002633825,-0.006157307,0.003292415,-0.008981934
58:02.4,3.149115367,-1.555982678,91.05666472,0.012586662,-0.009677147,0.002086216,-0.006342445,0.003424106,-0.009289799
58:02.6,3.150208941,-1.557140327,91.04982615,-0.003921019,0.001645574,0.002715549,-0.006826302,0.003528417,-0.009606922
58:02.7,3.151467644,-1.564051794,91.02673697,-0.004285861,0.007911831,0.002519498,-0.006744023,0.003664194,-0.009948237
58:02.8,3.156526423,-1.565055596,90.98765539,-0.005225011,-0.00088,0.002305205,-0.006348432,0.003790169,-0.010285438
58:02.9,3.160479864,-1.561740644,90.95666234,-0.003506737,-0.004990681,0.002043954,-0.006392432,0.003905429,-0.01060286
58:03.0,3.161701859,-1.562495327,91.00335317,0.000315822,0.000875248,0.001868618,-0.006641966,0.004007627,-0.010922481
58:03.1,3.161941693,-1.562943236,90.95614548,-0.00269644,0.000484441,0.001884409,-0.006598203,0.004101058,-0.011254579
58:03.2,3.163530412,-1.566222908,91.01643024,-0.006853779,0.002647348,0.001749587,-0.006573981,0.004195278,-0.01158449
58:03.3,3.163530412,-1.566222908,91.01643024,0.009214601,-0.004423703,0.001406898,-0.006441614,0.004282758,-0.011913189
58:03.4,3.163918737,-1.564960448,91.00801728,-0.000556031,-0.004272373,0.001867628,-0.006662799,0.004353102,-0.012235269
58:03.5,3.166678651,-1.560332555,91.01611878,-0.001712716,-0.006895038,0.001839826,-0.006876418,0.004446484,-0.012568409
58:03.6,3.16694454,-1.56397496,91.0139276,-0.002711039,0.003097191,0.00175419,-0.00722117,0.004538475,-0.01291223
58:03.7,3.166364062,-1.560811089,90.92616467,0.003235848,-0.004619686,0.001618638,-0.00706631,0.004626185,-0.013273289
58:03.8,3.16455569,-1.555178737,90.95330976,0.005061986,-0.008281982,0.001780431,-0.007297294,0.004707117,-0.013626604
58:03.9,3.163986306,-1.556274525,90.98581783,-0.001408,-0.000655873,0.00203353,-0.007711394,0.004796138,-0.013991469
58:04.0,3.15922987,-1.553764505,91.0461386,0.007140346,-0.005896704,0.00196313,-0.007744187,0.004897815,-0.014377039
58:04.1,3.154496229,-1.559243361,91.09705819,0.020471604,0.01079929,0.002320147,-0.008039022,0.004995971,-0.014764248
58:04.3,3.148338759,-1.557355857,91.14717525,0.009242795,-0.007169966,0.003343728,-0.007499058,0.005111979,-0.015166199
58:04.4,3.158193321,-1.560698812,91.15583162,-0.007934033,0.002420717,0.003805867,-0.007857556,0.005279165,-0.015541152
58:04.6,3.158685507,-1.5685449,91.1387865,-0.007659928,0.009352075,0.003409166,-0.00773652,0.005469458,-0.01593403
58:04.7,3.148552141,-1.560467694,91.21185394,0.02424978,-0.011773887,0.003026169,-0.007268917,0.005639917,-0.016320856
58:04.8,3.154147538,-1.560196302,91.23687454,-0.001445472,-0.000306745,0.004238658,-0.007857611,0.005791225,-0.016684302
58:04.9,3.119051046,-1.575677362,91.29709382,0.026589138,0.027875978,0.004166385,-0.007872948,0.006003158,-0.017077182
58:05.1,2.967260485,-2.428637408,91.4090227,0.307498686,1.286514424,0.005495842,-0.006479149,0.006211477,-0.01747083
58:05.1,2.805302478,-3.707875064,91.18187223,0.231972344,1.907867434,0.020870776,0.057846572,0.006486269,-0.017794787
58:05.4,3.002579574,-3.499093251,90.77155795,-0.258714937,-0.367028304,0.032469393,0.153239944,0.007529808,-0.014902458
58:05.5,3.215594175,-2.41102707,90.24469969,-0.272450545,-1.654964076,0.019533646,0.134888528,0.009153278,-0.007240461
58:05.6,3.35137171,-1.042552156,89.55511944,-0.042484177,-2.078808,0.005911119,0.052140325,0.01012996,-0.000496035
58:05.7,3.408798825,-0.585536086,88.9056669,-0.062895986,-0.699695805,0.00378691,-0.051800075,0.010425516,0.002110981
58:05.8,3.403417307,-0.729198405,88.44903827,0.025652364,0.213431736,0.000642111,-0.086784866,0.010614862,-0.000479022
58:06.0,3.340413662,-0.821306156,88.05364624,0.070619756,0.131842724,0.001924729,-0.076113279,0.010646967,-0.004818266
58:06.1,3.304604602,-0.901739646,87.72087001,0.01584293,0.116740377,0.005455717,-0.069521143,0.010743203,-0.00862393
58:06.2,3.342572163,-1.022593376,87.366458,-0.049272629,0.172918715,0.006247863,-0.063684124,0.011015989,-0.012099987
58:06.3,3.348037942,-1.09165092,87.10305189,0.062699818,0.101038631,0.003784232,-0.055038188,0.011328383,-0.015284193
58:06.4,3.367175128,-1.159926862,86.81186377,-0.055284772,0.094010174,0.006919223,-0.049986257,0.011517594,-0.018036102
58:06.5,3.328205485,-1.144601637,86.55878039,0.015094873,-0.030473503,0.004154984,-0.045285748,0.011863555,-0.020535415
58:06.6,3.563677176,-0.644279033,86.2863632,-0.336341501,-0.736118395,0.004909728,-0.046809423,0.012071304,-0.022799703
58:06.7,3.618898341,0.38741373,86.21082474,-0.13530356,-1.557538674,-0.011907347,-0.083615343,0.012316791,-0.025140174
58:06.8,3.499232922,1.375295776,86.66903332,0.231692076,-1.522099466,-0.018672525,-0.161492277,0.011721423,-0.029320941
58:07.0,3.415492626,1.838104553,87.14435872,0.040509584,-0.679394979,-0.007087921,-0.23759725,0.010787797,-0.037395555
58:07.0,3.293008684,1.361071623,87.58320855,0.185848696,0.711442085,-0.005062442,-0.271566999,0.010433401,-0.049275417
58:07.1,3.24232839,0.120099408,87.83970371,0.164924301,1.878249603,0.004229993,-0.235994895,0.010180279,-0.062853767
58:07.3,3.307378767,-1.510046181,88.0041803,0.110878188,2.496816525,0.012476208,-0.142082414,0.010391779,-0.074653512
58:07.4,3.415208507,-2.1725185,88.116764,-0.079129137,0.995051396,0.018020117,-0.017241588,0.011015589,-0.081757633
58:07.5,3.411338119,-2.099651376,88.26166966,-0.010220567,-0.105863938,0.01406366,0.032510982,0.011916595,-0.082619712
58:07.6,3.464858502,-2.086273438,88.40938891,-0.080441429,-0.019034629,0.013552632,0.027217785,0.012619778,-0.080994163
58:07.7,3.471059923,-2.008117405,88.56454673,-0.006741445,-0.11559867,0.00953056,0.026266053,0.01329741,-0.079633274
58:07.8,3.476673676,-1.991543944,88.69872697,-0.00472113,-0.026730729,0.009193488,0.02048612,0.013773938,-0.078319971
58:07.9,3.46361803,-1.972624625,88.73137067,0.043304762,-0.029191406,0.008957432,0.019149583,0.014233612,-0.077295665
58:08.0,3.476900466,-1.97594729,88.78246481,-0.017536219,0.000723694,0.01112267,0.017690013,0.014681484,-0.076338186
58:08.1,3.469367302,-2.0651754,88.85096895,0.034446067,0.114826244,0.010245859,0.017726198,0.015237617,-0.075453685
58:08.2,3.364051889,-2.534644801,88.8531476,0.162220494,0.678279894,0.011968162,0.02346751,0.01574991,-0.074567375
58:08.3,3.434835984,-3.071598995,88.7879541,-0.10909586,0.793941373,0.020079187,0.057381505,0.016348318,-0.073394
58:08.5,3.405796849,-3.733996296,88.72789114,0.021768157,0.97479872,0.014624394,0.097078573,0.017352277,-0.070524925
58:08.5,3.348251505,-4.317365377,88.7557473,0.074914002,0.856883612,0.015712802,0.145818509,0.018083497,-0.065670996
58:08.6,3.353853832,-4.673804917,88.85153785,-0.034468865,0.513534277,0.019458502,0.18866269,0.018869137,-0.05838007
58:08.7,3.426745656,-4.384341737,88.7850259,-0.072414508,-0.439649188,0.017735059,0.214339404,0.019842062,-0.048946936
58:08.8,3.53095858,-3.471646065,88.6079237,-0.135030507,-1.364346672,0.014114333,0.192356944,0.020728815,-0.038229966
58:09.0,3.69065274,-2.23224979,88.05883407,-0.165920091,-1.864670672,0.007362808,0.124139611,0.021434532,-0.028612119
58:09.1,3.668302644,-0.989387122,87.66861651,0.050596451,-1.877509001,-0.000933197,0.030906077,0.021802672,-0.022405138
58:09.2,3.628065948,-0.98784739,87.29254145,0.041402538,-0.005415214,0.001596626,-0.062969373,0.021756013,-0.020859834
58:09.3,3.56027814,-1.032450958,86.99463114,0.065935062,0.059747197,0.003666753,-0.063240134,0.021835844,-0.024008303
58:09.4,3.615131532,-1.060924355,86.58664327,-0.226262392,0.041220238,0.006963506,-0.060252774,0.022019181,-0.02717031
58:09.6,3.610543561,-0.46340824,86.38190521,-0.055134163,-0.905031193,-0.004349614,-0.058191762,0.022367357,-0.030182948
58:09.7,3.75064905,0.345795331,86.19648155,-0.087313767,-1.201685034,-0.007106322,-0.103443322,0.022149876,-0.033092536
58:09.8,3.725543757,0.762575297,86.42811292,0.049874174,-0.608126954,-0.01147201,-0.163527573,0.02179456,-0.038264702
58:09.9,3.661963251,0.46668581,86.73252541,0.143475129,0.445704132,-0.008978301,-0.193933921,0.021220959,-0.046441081
58:10.1,3.67141149,-0.291884272,86.95903236,0.055512144,1.146904304,-0.001804545,-0.171648714,0.020772044,-0.056137777
58:10.1,3.538071973,-1.40985239,87.15837162,0.282107867,1.66962118,0.000971062,-0.114303499,0.020681817,-0.064720213
58:10.3,3.659643823,-2.622759696,87.1431425,-0.064823517,1.838661177,0.015076456,-0.03082244,0.02073037,-0.070435388
58:10.4,3.667986424,-2.599894212,87.36530489,-0.047775779,-0.025702792,0.01183528,0.061110619,0.021484193,-0.07197651
58:10.4,3.649063369,-2.513567678,87.58555394,0.026995588,-0.132045727,0.009446491,0.059825479,0.022075957,-0.068920979
58:10.5,3.649037323,-2.452274371,87.74627673,-0.016225026,-0.090479894,0.01079627,0.053223193,0.022548282,-0.065929705
58:10.6,3.655895346,-2.372489072,87.81561704,-0.004090012,-0.118455512,0.009985019,0.048699198,0.023088095,-0.063268545
58:10.7,3.650710657,-2.326848764,87.87460501,0.0046419,-0.07251607,0.009780518,0.042776422,0.023587346,-0.060833585
58:10.8,3.630605145,-2.245206703,87.93057765,0.031495117,-0.126839858,0.010012613,0.039150619,0.024076372,-0.058694764
58:10.9,3.641553012,-2.222158509,88.07023726,-0.020260472,-0.037864734,0.011587369,0.032808626,0.024577003,-0.056737233
58:11.0,3.607008503,-2.138548739,88.25694937,0.047619711,-0.12635227,0.010574346,0.030915389,0.025156371,-0.055096802
58:11.1,3.581654814,-2.096201717,88.3038083,0.02641545,-0.063761079,0.012955331,0.024597776,0.025685088,-0.053551033
58:11.2,3.586073458,-2.08244584,88.35846885,-0.009571441,-0.022384059,0.014276104,0.021409722,0.026332855,-0.052321144
58:11.3,3.582666911,-2.013728022,88.40837003,0.003893749,-0.104517064,0.013797531,0.020290519,0.02704666,-0.051250658
58:11.4,3.585029024,-1.998754669,88.39926363,-0.004193685,-0.022300979,0.013992219,0.015064666,0.027736537,-0.050236132
58:11.5,3.57911427,-1.95299776,88.44358738,0.008918163,-0.068164164,0.013782535,0.013949617,0.028436148,-0.049482898
58:11.6,3.570054741,-1.935592965,88.51702842,0.008076785,-0.02611742,0.014228443,0.010541409,0.029125274,-0.048785418
58:11.8,3.574670347,-1.917791043,88.6245537,-0.012310186,-0.028262001,0.014632282,0.009235538,0.029836696,-0.048258347
58:11.8,3.574910108,-1.89606127,88.64373504,0.000961942,-0.034667701,0.014016773,0.007822438,0.030568311,-0.04779657
58:11.9,3.572596648,-1.868388173,88.7187523,0.004641876,-0.038831419,0.01406487,0.006089053,0.031269149,-0.047405448
58:12.0,3.570645317,-1.851506442,88.75509987,-6.67E-05,-0.025214065,0.014296964,0.004147482,0.031972393,-0.047100996
58:12.1,3.578087824,-1.843930704,88.72332386,-0.008970906,-0.013205017,0.014293627,0.002886778,0.032687241,-0.046893622
58:12.2,3.579423171,-1.819807204,88.70167084,-0.000476041,-0.040177207,0.013845082,0.002226528,0.033401922,-0.046749283
58:12.4,3.577593171,-1.814366796,88.78104054,0.004614143,-0.010608039,0.01382128,0.000217667,0.034094176,-0.046637956
58:12.5,3.584705544,-1.809189649,88.82619607,-0.008685472,-0.010037023,0.014051987,-0.000312735,0.03478524,-0.046627073
58:12.6,3.579053357,-1.790846218,88.82266962,0.005595854,-0.029452494,0.013617713,-0.000814586,0.03548784,-0.04664271
58:12.7,3.581310389,-1.77758501,88.83198276,-0.003717688,-0.017330789,0.013897506,-0.002287211,0.036168725,-0.046683439
58:12.9,3.579381573,-1.779903978,88.88094733,0.005155164,0.001058923,0.013711622,-0.00315375,0.036863601,-0.0467978
58:13.0,3.573352925,-1.767312908,88.87999708,0.006346195,-0.020937387,0.01396938,-0.003100804,0.037549182,-0.046955487
58:13.1,3.578932447,-1.76536843,88.94956245,-0.008249014,-0.004660597,0.01428669,-0.004147673,0.038247651,-0.047110527
58:13.1,3.575867679,-1.757264433,89.01718545,0.00655114,-0.01429547,0.013874239,-0.004380703,0.038961985,-0.047317911
58:13.2,3.574583395,-1.753670569,89.02775151,-0.000453756,-0.005326493,0.014201796,-0.005095477,0.039655697,-0.047536946
58:13.3,3.574702255,-1.74673115,89.01372648,0.001788882,-0.014990134,0.014179108,-0.005361801,0.040365787,-0.04779172
58:13.5,3.661939491,-1.788395289,88.90908082,-0.131081961,0.062598049,0.014268552,-0.006111308,0.041074742,-0.04805981
58:13.6,3.650890124,-1.749222814,88.91258873,0.081032873,-0.064382155,0.007714454,-0.002981406,0.04178817,-0.048365375
58:13.7,3.549370658,-1.746184559,88.95866817,0.082170199,-0.011231868,0.011766098,-0.006200513,0.042173893,-0.048514446
58:13.8,3.64802019,-1.750778754,88.90848418,-0.112290799,0.006544407,0.015874608,-0.006762107,0.042762198,-0.048824471
58:13.9,3.638844208,-1.717087576,88.99303325,0.111949963,-0.052478442,0.010260068,-0.006434886,0.043555928,-0.049162577
58:14.0,3.703508437,-1.74235959,88.93391688,-0.195757175,0.030727467,0.015857566,-0.009058808,0.044068931,-0.049484321
58:14.1,3.667331992,-1.720543348,89.00690675,0.149873403,-0.040227728,0.006069707,-0.007522435,0.04486181,-0.049937261
58:14.3,3.619139002,-1.735067404,88.89790378,0.03981805,0.014226911,0.013563377,-0.009533821,0.045165295,-0.050313383
58:14.3,3.599318897,-1.740306895,88.92376617,0.034016943,0.002675254,0.01555428,-0.008822476,0.045843464,-0.050790074
58:14.5,3.788474731,-1.70201537,88.96104496,-0.027936955,-0.04678094,0.017255127,-0.008688713,0.046621178,-0.051231198
58:14.6,3.84675651,-1.711824156,88.94638072,-0.024953213,0.021954317,0.015858279,-0.01102776,0.047483934,-0.051665634
58:14.7,3.685112995,-1.71030397,89.00966928,0.035414814,-0.01491053,0.014610619,-0.009930044,0.048276848,-0.052217022
58:14.8,3.688441452,-1.703251408,88.97930713,-0.08024329,-0.016521258,0.016381359,-0.010675571,0.049007379,-0.052713524
58:14.9,3.712845924,-1.706899751,88.88846763,-0.008830424,0.008083828,0.012369195,-0.011501634,0.049826447,-0.053247302
58:15.0,3.720967227,-1.698888557,88.86787239,0.003716213,-0.011653309,0.011927674,-0.011097442,0.050444907,-0.053822384
58:15.1,3.861232,-1.697908443,88.81914734,-0.169918137,-0.001232114,0.012113484,-0.011680108,0.051041291,-0.054377256
58:15.2,3.799801631,-1.712599847,88.84328409,0.08229135,0.012210135,0.003617578,-0.011741714,0.051646965,-0.054961262
58:15.3,3.803671817,-1.710963986,88.8546858,-0.033620655,-0.009463679,0.007732145,-0.011131207,0.051827844,-0.055548347
58:15.4,3.65609778,-1.731619107,88.87677103,-0.003450835,0.010817502,0.006051112,-0.011604391,0.052214451,-0.056104908
58:15.5,3.964875811,-1.79716242,88.7151728,-0.46566646,0.028226433,0.005878571,-0.011063516,0.052517007,-0.056685127
58:15.6,3.759679478,-1.853511991,88.82267029,0.227861295,0.049593537,-0.017404752,-0.009652194,0.052810935,-0.057238303
58:15.8,3.715740131,-1.859509881,88.61621811,-0.020699562,-0.018721918,-0.006011688,-0.007172517,0.051940697,-0.057720913
58:15.9,3.620459095,-1.814844557,88.55631506,0.148133164,-0.104525164,-0.007046666,-0.008108613,0.051640113,-0.058079539
58:16.0,3.66877783,-1.776759684,88.61324847,0.112062183,-0.004968648,0.000359992,-0.013334871,0.05128778,-0.058484969
58:16.1,3.728288327,-1.753455392,88.6492551,-0.121417302,-0.028551999,0.005963102,-0.013583304,0.051305779,-0.059151713
58:16.2,3.954519731,-1.749510799,88.69216882,-0.358182504,-0.006282337,-0.000107764,-0.015010904,0.051603934,-0.059830878
58:16.4,4.295283403,-1.799014074,88.9981238,-0.480043625,0.08013749,-0.018016889,-0.01532502,0.051598546,-0.060581423
58:16.5,4.322731867,-1.834608748,89.47296619,-0.038724677,0.049418922,-0.04201907,-0.011318146,0.050697702,-0.061347674
58:16.6,4.191991957,-1.828817256,89.81754549,0.207686606,-0.012672667,-0.043955304,-0.0088472,0.048596748,-0.061913581
58:16.7,4.143546668,-1.803142289,89.91468122,0.048196011,-0.040236297,-0.033570974,-0.009480833,0.046398983,-0.062355941
58:16.8,4.11330497,-1.834893743,90.18095934,0.14235889,0.055375916,-0.031161173,-0.011492648,0.044720434,-0.062829983
58:17.0,3.133385757,-1.845977788,90.75172016,1.40649267,-0.031765348,-0.024043228,-0.008723852,0.043162376,-0.063404615
58:17.1,3.258413576,-1.787089869,90.82981768,0.157596517,-0.053936701,0.046281405,-0.01031212,0.041960214,-0.063840808
58:17.4,3.207339779,-1.789028667,90.87101013,0.191653344,-0.00406666,0.054161231,-0.013008955,0.044274285,-0.064356414
58:17.5,2.348253778,-1.740421564,91.26644871,1.476974409,-0.14929129,0.063743898,-0.013212288,0.046982346,-0.065006862
58:17.6,1.83547664,-1.777156512,91.34400939,0.857944322,-0.007125263,0.137592619,-0.020676852,0.050169541,-0.065667476
58:17.8,2.186929519,-1.884983838,91.06295204,-0.570916795,0.127906304,0.180489835,-0.021033115,0.057049172,-0.066701319
58:17.9,2.594682697,-1.953854025,90.80604447,-0.611059694,0.087733662,0.151943995,-0.0146378,0.066073664,-0.067752975
58:18.0,3.139643926,-1.972158535,89.91556893,-0.73188366,-0.026250477,0.12139101,-0.010251117,0.073670863,-0.068484865
58:18.2,3.921344309,-2.022534091,87.68131903,-1.284682161,-0.128028853,0.084796827,-0.011563641,0.079740414,-0.06899742
58:18.3,4.652199787,-2.187821595,85.59615184,-1.194547352,0.125960322,0.020562719,-0.017965083,0.083980255,-0.069575602
58:18.4,4.417587303,-2.170883586,84.55932235,0.057845432,-0.046414596,-0.039164648,-0.011667067,0.085008391,-0.070473857
58:18.6,4.348045635,-2.118761032,83.59494756,0.037341799,-0.083226405,-0.036272377,-0.013987797,0.083050159,-0.07105721
58:18.7,4.392487003,-2.10487675,82.66570921,-0.253238809,-0.012621104,-0.034405287,-0.018149117,0.08123654,-0.0717566
58:18.8,4.868902603,-2.256424027,81.83057568,-0.684205644,0.265510599,-0.047067227,-0.018780173,0.079516276,-0.072664056
58:18.9,5.606808706,-2.356211252,81.00735153,-1.127511735,0.215932541,-0.081277509,-0.005504643,0.077162914,-0.073603064
58:19.0,6.154762193,-2.382910266,80.66674503,-0.839740742,0.123291649,-0.137653096,0.005291984,0.073099039,-0.073878296
58:19.1,6.154452223,-2.329274232,81.50971697,-0.026447509,-0.085924104,-0.179640133,0.011456567,0.066216384,-0.073613697
58:19.3,5.794101496,-2.227069651,82.89052508,0.492856794,-0.269667616,-0.180962509,0.007160362,0.057234377,-0.073040869
58:19.3,5.07733739,-2.117798425,84.45936959,0.991629665,-0.37976114,-0.156319669,-0.006323019,0.048186252,-0.072682851
58:19.4,4.056766849,-1.993250828,85.86459114,1.389792706,-0.432012012,-0.106738186,-0.025311076,0.040370269,-0.072999002
58:19.5,3.158968801,-1.9640234,87.06993578,1.329424507,-0.23579868,-0.03724855,-0.046911677,0.035033359,-0.074264556
58:19.7,2.631657869,-1.994971864,87.89888593,0.870962433,-0.050003148,0.029222675,-0.058701611,0.033170932,-0.076610139
58:19.8,2.97858653,-1.937986629,88.22379179,-0.119084394,-0.047329288,0.072770797,-0.061201768,0.034632065,-0.07954522
58:19.9,3.014441683,-1.759713324,88.66156677,0.534296084,-0.273863885,0.066816577,-0.063568233,0.038270605,-0.082605308
58:20.0,2.434209047,-1.657886356,89.33183314,1.003359941,-0.244700198,0.093531381,-0.077261427,0.041611434,-0.08578372
58:20.1,1.940106412,-1.65031549,89.75057343,0.646257402,-0.099393912,0.143699378,-0.089496437,0.046288003,-0.089646791
