TimeStamp,Roll,Pitch,Yaw
23:59.7,12.26845502,-1.088865736,80.60301779
23:59.8,11.88294808,-0.924851684,81.19638228
23:59.9,11.54657395,-0.783368336,81.68272332
24:00.1,11.10686122,-0.731083023,82.23038285
24:00.3,10.8670043,-0.583172464,82.66211841
24:00.5,10.40307702,-0.326901795,83.24050871
24:00.6,9.931708008,0.234636894,83.82862695
24:00.8,9.842277692,1.404384527,83.90673944
24:00.9,10.54287783,3.707142981,83.72910475
24:01.2,8.88204949,8.235087767,83.12542354
24:01.2,6.543695058,12.73517689,82.45352268
24:01.5,5.061929039,17.5618794,82.29296274
24:01.7,6.19309356,22.8925081,80.47089694
24:01.8,8.121986852,28.25436343,77.22112124
24:01.9,9.670989181,33.17131579,73.38237234
24:02.1,12.86538936,36.78808763,66.82426822
24:02.4,16.21884269,39.52399672,60.07806374
24:02.6,20.04060747,42.30186825,53.70271377
24:02.7,22.43327551,44.89816713,47.10701914
24:02.8,23.78721046,46.4712174,41.6078063
24:03.1,22.2345408,46.37103836,37.88367641
24:03.3,19.91533633,44.55127011,37.78319388
24:03.5,18.10249484,41.84554385,40.07764498
24:03.6,17.01938409,38.68207139,42.59184509
24:03.8,15.34541799,35.15115687,45.72535082
24:04.0,13.3273986,31.5706174,48.73145586
24:04.1,12.90464672,27.75833986,51.99723277
24:04.2,13.44864468,24.32264248,54.96356081
24:04.2,13.84722754,21.45387795,57.69132761
24:04.4,12.74335926,19.0281206,60.18178076
24:04.5,11.38322916,17.10269355,62.43918837
24:04.8,10.47323057,15.61791183,64.77094432
24:05.1,9.186475712,14.27215151,66.79982895
24:05.3,7.925096673,13.21576001,68.73855552
24:05.4,6.850405506,12.38201227,70.52258813
24:05.6,5.677589777,11.68809841,72.0593475
24:05.6,4.850488119,11.0879837,73.36354942
24:05.8,4.312819266,10.55515527,74.55395366
24:05.9,3.907760693,10.11839585,75.56183938
24:05.9,3.523787133,9.797822231,76.3726412
24:06.0,2.925522905,9.584795223,77.11727675
24:06.2,2.043728513,9.644514848,77.40728798
24:06.3,1.32329444,9.834636431,77.00334439
24:06.6,0.585360923,10.15592233,75.78050089
24:06.7,-0.058502237,10.58194639,73.94429813
24:06.8,-0.163659909,10.79435392,71.68268738
24:06.9,0.154981781,10.98996195,69.35894236
24:07.1,0.633777902,10.79853317,67.06080182
24:07.4,0.457396653,9.905505309,64.19531107
24:07.6,0.365292806,9.294501596,61.23161434
24:07.9,0.645804619,9.198338568,58.20654518
24:08.1,1.011014902,9.634709904,55.21061992
24:08.2,1.284289357,9.748387794,52.51073279
24:08.4,1.452057062,9.681295031,50.23312453
24:08.6,1.300343242,9.776393637,48.77217708
24:08.7,1.179592632,9.75565532,47.99746096
24:08.8,1.452152185,9.546121239,47.5059216
24:09.0,1.646403786,9.124446164,47.82494182
24:09.1,1.710281686,8.752343281,48.20280809
24:09.3,1.748472432,8.830889671,48.53266541
24:09.4,2.337861948,9.039976674,49.2017668
24:09.6,2.697130997,9.215250552,50.26306953
24:09.6,3.009390316,9.439178645,51.41342906
24:09.8,3.078206816,9.554069356,52.53371266
24:09.9,3.476957548,9.635362882,53.27230072
24:10.0,3.611068889,9.172504549,54.29046297
24:10.3,4.300787448,8.194295904,55.40145609
24:10.4,4.095443494,6.977233624,56.24799866
24:10.5,4.114598738,6.686240358,56.13038947
24:10.6,3.956185659,7.120344227,56.14733622
24:10.7,4.557291113,7.107342766,56.27996819
24:10.9,4.383896247,7.029446741,56.31557676
24:11.0,4.867110281,6.448052186,57.010585
24:11.3,3.273847079,5.583559187,58.22765505
24:11.4,3.409014068,5.045095962,59.18529613
24:11.5,3.856267261,4.523141255,60.57236807
24:11.7,3.895338437,4.058408918,62.17973883
24:11.8,4.238840942,3.553592956,64.1753222
24:11.9,4.568663139,2.940888779,66.45311819
24:12.1,4.736353499,2.465841149,68.70644465
24:12.3,5.226887092,2.183612376,70.79668351
24:12.4,6.396972374,1.91155548,72.77868493
24:12.7,6.616633576,1.671642693,73.95457065
24:12.8,6.716352828,1.50400685,74.97586875
24:12.9,6.798843139,1.372474015,76.00215226
24:13.0,6.971362525,1.40326211,77.03555609
24:13.1,6.986302648,1.256397865,77.95533733
24:13.4,7.049480796,1.141668826,78.64131514
24:13.6,7.146876874,1.095445011,79.30848346
24:13.7,7.180631972,1.018270752,79.89354256
24:13.7,7.296351559,1.007399265,80.37897432
24:13.9,7.413134209,1.018182204,80.83512456
24:14.0,7.481050514,0.97637068,81.17441704
24:14.1,7.531444517,0.965208477,81.49036196
24:14.4,7.595632257,0.938797111,81.78658966
24:14.5,7.632775576,0.904756596,82.16531444
24:14.7,7.686846294,0.875465219,82.42281123
24:14.8,7.727812311,0.854973424,82.65866473
24:15.0,7.771340878,0.844304598,82.79888063
24:15.1,7.808984874,0.828647598,83.09883104
24:15.1,7.840500483,0.818113727,83.15286253
24:15.3,7.872958086,0.80807956,83.29991168
24:15.4,7.904392433,0.787126489,83.50898897
24:15.5,7.922683992,0.778810412,83.60342032
24:15.6,7.9442378,0.780923353,83.75059304
24:15.8,7.966782718,0.77487496,83.81349868
24:15.9,7.98376436,0.770614168,83.88952618
24:16.2,8.004108464,0.764988882,84.11969503
24:16.3,8.017761515,0.758498041,84.2295077
24:16.5,8.037602199,0.752756853,84.24378043
24:16.7,8.048321418,0.751452296,84.37201416
24:16.8,8.06323595,0.746066081,84.49244366
24:17.0,8.079161644,0.744353496,84.51588801
24:17.1,8.093142724,0.745855517,84.61802125
24:17.2,8.107650397,0.742674975,84.62633779
24:17.3,8.122528434,0.739679942,84.59154731
24:17.4,8.133036708,0.740917514,84.62289336
24:17.6,8.141383992,0.73947334,84.6231943
24:17.7,8.148771704,0.739851279,84.62320914
24:17.9,8.151856298,0.735549136,84.7147307
24:18.0,8.161749519,0.735519242,84.71241983
24:18.1,8.16744521,0.737701865,84.71836194
24:18.4,8.176852759,0.73800181,84.70447434
24:18.6,8.187709827,0.742030962,84.68733645
24:18.7,8.206135562,0.745625933,84.70189587
24:18.9,8.21206851,0.745497358,84.55068638
24:19.0,8.229032598,0.754113823,84.63512996
24:19.1,8.232248314,0.755455225,84.75819361
24:19.5,8.208817875,0.751043149,84.8378949
24:19.7,8.203401271,0.746572352,84.84738379
24:19.8,8.20170652,0.751568181,84.88911709
24:19.9,8.215811638,0.75535607,84.77981049
24:20.1,8.233036791,0.747916374,84.69806956
24:20.3,8.228097615,0.747408472,84.6978827
24:20.4,8.228470839,0.742897797,84.72921247
24:20.6,8.236251071,0.74090381,84.79379436
24:20.7,8.247472106,0.745014849,84.86410286
24:20.9,8.250678143,0.750254955,84.85177963
24:21.2,8.25170832,0.753684239,84.84412706
24:21.4,8.258390525,0.758929306,84.78664176
24:21.7,8.264019053,0.768463804,84.7843399
24:21.8,8.274353886,0.773040716,84.79556573
24:22.0,8.268533511,0.771017969,84.79972935
24:22.2,8.268230294,0.769602002,84.80402417
24:22.4,8.16574471,0.778599851,84.8100223
24:22.5,8.191282794,0.763858925,84.77346271
24:22.7,8.20513318,0.769346315,84.73834568
24:22.8,8.236447105,0.779929554,84.67546749
24:23.1,8.212615602,0.771287728,84.78094074
24:23.3,8.210030165,0.779807114,84.66530847
24:23.4,8.215210858,0.772359449,84.65339655
24:23.5,8.211852956,0.772096191,84.6661922
24:23.8,8.22964005,0.774614106,84.71432878
24:23.9,8.246955829,0.780771842,84.74353723
24:24.1,8.253385113,0.780041525,84.68041796
24:24.2,8.260624581,0.786352281,84.78241573
24:24.4,8.274684233,0.795959957,84.83808434
24:24.5,8.266640803,0.790749833,84.81785726
24:24.7,8.272743304,0.790839103,84.79616738
24:24.9,8.285289101,0.794494386,84.77794466
24:25.0,8.286627241,0.794965092,84.74310634
24:25.2,8.299432257,0.793547368,84.81088079
