TimeStamp,xVel1,yVel1,xVel2,yVel2
21:58.8,-0.005193134,0.009310809,0.004052913,-0.001660472
21:58.9,-0.005329083,0.009394661,0.004090958,-0.001525441
21:59.0,-0.005494143,0.009809383,0.00427697,-0.00153915
21:59.2,-0.005532264,0.009571286,0.004333584,-0.001859658
21:59.4,-0.005035137,0.009626262,0.004621867,-0.001588302
21:59.4,-0.005105392,0.00992752,0.004218006,-0.001631335
21:59.5,-0.005182896,0.009953182,0.004387305,-0.001766249
21:59.7,-0.005007231,0.010108495,0.004317972,-0.001626322
21:59.8,-0.004647145,0.010335468,0.004514385,-0.001810547
21:59.9,-0.005122953,0.010466608,0.004537509,-0.001848183
22:00.0,-0.004754636,0.010815015,0.00423829,-0.001555639
22:00.2,-0.004611372,0.010887886,0.005021542,-0.001702687
22:00.5,-0.005630589,0.011179651,0.005281435,-0.001751084
22:00.7,-0.005814707,0.011581533,0.004989907,-0.002108288
22:00.8,-0.006420809,0.011369893,0.005034406,-0.001791419
22:00.9,-0.00696425,0.011286701,0.00456194,-0.001297991
22:01.1,-0.006793487,0.011194087,0.004479166,-0.000996265
22:01.3,-0.007033311,0.011450428,0.003657749,-0.000621096
22:01.4,-0.006030594,0.011811404,0.004033227,-0.001286864
22:01.5,-0.006384367,0.011546463,0.003866758,-0.000853565
22:01.6,-0.006651955,0.011512058,0.00360591,-0.001371163
22:01.7,-0.006386093,0.012235274,0.003548979,-0.00078601
22:01.8,-0.006818601,0.012298746,0.002166135,-0.001554015
22:01.9,-0.006102828,0.013063637,0.002280719,-0.000604713
22:02.0,-0.006797552,0.012834172,0.002561515,-0.000991062
22:02.1,-0.006325,0.012823176,0.002574206,-0.001392542
22:02.3,-0.006199858,0.01296324,0.00435914,-0.000819337
22:02.3,-0.006440205,0.013094898,0.00403953,-0.001153554
22:02.5,-0.005794243,0.013108169,0.004561483,-0.000731338
22:02.6,-0.005807467,0.013352068,0.003446056,-0.000341743
22:02.7,-0.00652445,0.013276728,0.001997161,-0.000878416
22:02.8,-0.006210532,0.013391906,0.002709819,-0.000886777
22:02.8,-0.006289852,0.013295291,0.003577822,-0.000134702
22:02.9,-0.00596939,0.013579431,0.004137096,-2.12E-05
22:03.0,-0.007025004,0.013389101,0.004385214,-0.0005402
22:03.1,-0.006338546,0.01358178,0.004036089,-0.000912154
22:03.2,-0.007043638,0.013522872,0.003945676,-0.000844572
22:03.3,-0.00666401,0.013336242,0.004532676,-0.000997906
22:03.4,-0.00660571,0.013240615,0.004014284,-0.000604225
22:03.6,-0.006430172,0.013257194,0.004280433,-0.000924476
22:03.7,-0.00657197,0.013249084,0.004683195,-0.000873022
22:03.9,-0.007388969,0.012980688,0.004192123,-0.001122794
22:04.0,-0.007390696,0.013596047,0.004059268,-0.000995447
22:04.1,-0.007528453,0.014239504,0.004511323,-0.001185966
22:04.4,-0.00740246,0.013951564,0.004664574,-0.001059225
22:04.5,-0.006722988,0.014043558,0.003937241,-0.00142976
22:04.6,-0.006706217,0.014241311,0.004522404,-0.000814619
22:04.7,-0.00677321,0.014231344,0.004800046,-0.000760442
22:04.8,-0.00683412,0.014416287,0.005123044,-0.001104373
22:04.9,-0.007108921,0.01420253,0.005794579,-0.001417673
